Flight No.,Date,Time,Version Booster,Launch Site,Payload,Payload mass,Orbit,Customer,Launch outcome,Booster landing
"<td>4 June 2010,<br/>18:45
</td>",4 June 2010,18:45,F9 v1.0B0003.1,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,"Success
",Failure
"<td>8 December 2010,<br/>15:43<sup class=""reference"" id=""cite_ref-spaceflightnow_Clark_Launch_Report_19-0""><a href=""#cite_note-spaceflightnow_Clark_Launch_Report-19"">[13]</a></sup>
</td>",8 December 2010,15:43,F9 v1.0B0004.1,CCAFS,Dragon,0,LEO,NASA,Success,Failure
"<td>22 May 2012,<br/>07:44<sup class=""reference"" id=""cite_ref-BBC_new_era_23-0""><a href=""#cite_note-BBC_new_era-23"">[17]</a></sup>
</td>",22 May 2012,07:44,F9 v1.0B0005.1,CCAFS,Dragon,525 kg,LEO,NASA,Success,"No attempt
"
"<td rowspan=""2"">8 October 2012,<br/>00:35<sup class=""reference"" id=""cite_ref-SFN_LLog_27-0""><a href=""#cite_note-SFN_LLog-27"">[21]</a></sup>
</td>",8 October 2012,00:35,F9 v1.0B0006.1,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,NASA,"Success
",No attempt
"<td>1 March 2013,<br/>15:10
</td>",1 March 2013,15:10,F9 v1.0B0007.1,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,NASA,"Success
","No attempt
"
"<td>29 September 2013,<br/>16:00<sup class=""reference"" id=""cite_ref-pa20130930_36-0""><a href=""#cite_note-pa20130930-36"">[30]</a></sup>
</td>",29 September 2013,16:00,F9 v1.1B1003,VAFB,CASSIOPE,500 kg,Polar orbit,MDA,Success,Uncontrolled
"<td>3 December 2013,<br/>22:41<sup class=""reference"" id=""cite_ref-sfn_wwls20130624_41-0""><a href=""#cite_note-sfn_wwls20130624-41"">[34]</a></sup>
</td>",3 December 2013,22:41,F9 v1.1,CCAFS,SES-8,"3,170 kg",GTO,SES,Success,No attempt
"<td>6 January 2014,<br/>22:06<sup class=""reference"" id=""cite_ref-NASA_Spaceflight_48-0""><a href=""#cite_note-NASA_Spaceflight-48"">[41]</a></sup>
</td>",6 January 2014,22:06,F9 v1.1,CCAFS,Thaicom 6,"3,325 kg",GTO,Thaicom,Success,No attempt
"<td>18 April 2014,<br/>19:25<sup class=""reference"" id=""cite_ref-SFN_LLog_27-1""><a href=""#cite_note-SFN_LLog-27"">[21]</a></sup>
</td>",18 April 2014,19:25,F9 v1.1,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,NASA,"Success
",Controlled
"<td>14 July 2014,<br/>15:15
</td>",14 July 2014,15:15,F9 v1.1,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,Orbcomm,Success,Controlled
"<td>5 August 2014,<br/>08:00
</td>",5 August 2014,08:00,F9 v1.1,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,AsiaSat,Success,No attempt
"<td>7 September 2014,<br/>05:00
</td>",7 September 2014,05:00,F9 v1.1,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,AsiaSat,Success,"No attempt
"
"<td>21 September 2014,<br/>05:52<sup class=""reference"" id=""cite_ref-SFN_LLog_27-2""><a href=""#cite_note-SFN_LLog-27"">[21]</a></sup>
</td>",21 September 2014,05:52,F9 v1.1,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,NASA,Success,Uncontrolled
"<td>10 January 2015,<br/>09:47<sup class=""reference"" id=""cite_ref-nasa20150107_74-0""><a href=""#cite_note-nasa20150107-74"">[67]</a></sup>
</td>",10 January 2015,09:47,F9 v1.1,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,NASA,Success,Failure 
